Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	dtp	Wp/dtp	8511	117	0	-94	2000	741	20
Wikiquote	ms	Wq/ms	1806	94	139310	-596	765	177	19
Wikipedia	nup	Wp/nup	4393	43	20187	-48	583	351	13
Wikipedia	cak	Wp/cak	1386	131	39676	-9	298	20	13
Wikipedia	rsk	Wp/rsk	3126	27	300023	-18554	387	319	12
Wikipedia	nr	Wp/nr	846	47	17652	-24	184	156	12
Wiktionary	mad	Wt/mad	6839	22	15423	-167	5363	304	12
Wikiquote	gor	Wq/gor	2147	20	64925	-4548	241	377	10
Wikipedia	btm	Wp/btm	6842	138	24559	-2543	2091	201	10
Wikipedia	kus	Wp/kus	9537	66	0	0	1386	61	9
Wikinews	shn	Wn/shn	4909	20	342618	-6901	2257	492	9
Wikipedia	knc	Wp/knc	13600	76	16180	-1074	1277	379	9
Wiktionary	kaa	Wt/kaa	11086	26	0	0	5497	1637	9
Wikivoyage	cs	Wy/cs	5154	135	32425	-309	695	358	9
Wikipedia	ppl	Wp/ppl	3492	100	20	-53	445	77	8
Wikipedia	syl	Wp/syl	12790	70	159446	-536	2528	159	8
Wikipedia	kge	Wp/kge	11383	31	364891	-69883	2275	1040	7
Wikipedia	grc	Wp/grc	23986	310	159	-22	3755	137	7
Wiktionary	guc	Wt/guc	1983	50	517	-18	753	193	7
Wikivoyage	id	Wy/id	18123	141	45851	-5162	2505	76	7
Wikipedia	bew	Wp/bew	12070	93	0	0	2842	224	6
Wikipedia	lua	Wp/lua	927	22	2159	-12	291	151	6
Wikipedia	rki	Wp/rki	7751	48	337240	-337	2517	140	6
Wikipedia	bol	Wp/bol	1708	46	43	0	469	57	6
Wikipedia	mnc	Wp/mnc	22192	167	3203	-16	2900	53	6
Wikipedia	mjx	Wp/mjx	136	7	18504	-19	43	128	6
Wiktionary	ary	Wt/ary	4809	28	1081729	-5567	1913	126	5
Wikiquote	syl	Wq/syl	2522	15	24397	-1071	507	178	5
Wikipedia	kri	Wp/kri	2374	58	23	0	1323	581	5
Wiktionary	syl	Wt/syl	3580	19	17439	0	2013	87	5
Wikipedia	ddn	Wp/ddn	256	32	0	0	73	16	5
Wikipedia	isv	Wp/isv	148	7	31758	-206	78	110	5
