Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	nup	Wp/nup	4398	43	18763	-34	588	436	15
Wikipedia	btm	Wp/btm	6845	139	21007	-2624	2091	196	13
Wikipedia	dtp	Wp/dtp	8511	117	0	-94	2000	463	12
Wiktionary	mad	Wt/mad	6925	22	33311	-218	5414	324	12
Wikipedia	rsk	Wp/rsk	3152	27	306671	-14739	389	408	12
Wikiquote	gor	Wq/gor	2187	20	64473	-5558	251	559	11
Wikipedia	cak	Wp/cak	1386	131	32958	-9	298	21	11
Wikipedia	iba	Wp/iba	937	46	659804	-8597	290	177	11
Wikipedia	knc	Wp/knc	13778	78	18048	-1277	1281	501	10
Wikinews	shn	Wn/shn	4935	20	333088	-5798	2264	443	9
Wikivoyage	cs	Wy/cs	5181	135	34277	-512	695	308	9
Wikipedia	syl	Wp/syl	12801	70	203809	-579	2528	141	8
Wiktionary	kaa	Wt/kaa	11086	26	0	0	5497	1449	8
Wikipedia	mnc	Wp/mnc	22256	168	6459	-16	2906	63	7
Wikivoyage	id	Wy/id	18129	141	34411	-4487	2505	104	7
Wiktionary	guc	Wt/guc	1983	50	517	-18	753	177	7
Wikipedia	kge	Wp/kge	11432	31	272333	-38595	2277	724	6
Wikipedia	ppl	Wp/ppl	3498	100	3358	-577	447	50	6
Wikipedia	kus	Wp/kus	9537	66	0	0	1386	32	6
Wikipedia	lua	Wp/lua	927	22	2159	-12	291	94	6
Wikipedia	tdd	Wp/tdd	3174	39	203592	-28451	873	248	6
Wikipedia	grc	Wp/grc	24077	310	20536	-18	3776	132	5
Wikiquote	syl	Wq/syl	2528	15	30874	-282	509	131	5
Wiktionary	ary	Wt/ary	4810	28	1079333	-5565	1913	186	5
Wikipedia	mjx	Wp/mjx	140	7	19429	-22	44	70	5
Wiktionary	bew	Wt/bew	1393	16	102950	-619	684	139	5
Wikivoyage	hbs	Wy/hbs	3244	37	26674	-4290	254	53	5
Wikipedia	chn	Wp/chn	3514	38	14548	-1351	346	409	5
Wikipedia	rki	Wp/rki	7764	48	196510	-15	2523	184	5
Wikipedia	bew	Wp/bew	12070	93	0	0	2842	125	5
Wikipedia	isv	Wp/isv	148	7	31758	-206	78	74	5
Wikiquote	ha	Wq/ha	6003	42	187438	-1116	1032	525	5
Wikivoyage	syl	Wy/syl	3193	20	64416	-622	651	160	5
Wikiquote	ms	Wq/ms	1818	94	102798	-617	768	77	5
Wikipedia	jje	Wp/jje	4004	62	0	0	951	4	4
Wikibooks	syl	Wb/syl	2234	18	78547	-172	434	101	4
Wikipedia	na	Wp/na	53592	1074	199	0	2292	6	4
Wikipedia	vai	Wp/vai	200	22	60096	-50122	71	11	4
Wikipedia	nr	Wp/nr	865	47	20944	-24	189	45	4
Wikibooks	nia	Wb/nia	9218	40	13565	-455	2048	129	4
Wikipedia	vmf	Wp/vmf	5418	276	12657	-333	396	12	4
Wikipedia	sdc	Wp/sdc	18248	95	2173	-24	2443	14	4
Wikivoyage	diq	Wy/diq	8828	92	36	-93	1903	56	4
Wikipedia	ryu	Wp/ryu	10648	209	385	-44	2978	8	4
Wikipedia	kri	Wp/kri	2374	58	23	0	1323	99	4
Wiktionary	bto	Wt/bto	682	20	0	0	223	29	4
Wikinews	syl	Wn/syl	4792	24	165809	0	1061	85	4
Wiktionary	syl	Wt/syl	3583	19	21715	0	2015	74	4
Wikipedia	bdr	Wp/bdr	2488	47	202144	-3906	992	98	4
Wikipedia	kck	Wp/kck	1107	23	4877	-233	428	112	4
Wikipedia	mag	Wp/mag	7725	14	2502311	-8458	3272	1612	4
Wikipedia	krl	Wp/krl	9256	171	84	-65	2023	3	3
Wiktionary	iba	Wt/iba	19	3	4705	-72	4	19	3
Wikipedia	qug	Wp/qug	8455	70	0	0	1325	11	3
Wikivoyage	ar	Wy/ar	7909	386	290	-44	1600	20	3
Wikipedia	yua	Wp/yua	9281	196	1603	0	1279	6	3
Wikinews	id	Wn/id	1345	76	129	0	351	8	3
Wiktionary	ami	Wt/ami	17	5	2160	-199	4	13	3
Wikipedia	apc	Wp/apc	797	42	55	-69	150	15	3
Wikiquote	sh	Wq/sh	255	14	0	-172	73	5	3
Wikinews	bn	Wn/bn	6850	65	129075	-33670	1565	505	3
Wikipedia	nit	Wp/nit	2157	16	3450	-411	211	81	3
Wikinews	ms	Wn/ms	3111	58	412908	-956	844	278	3
Wiktionary	tcy	Wt/tcy	7471	37	11969	-587	2622	27	3
Wikipedia	ojb	Wp/ojb	838	26	0	0	189	49	3
Wikipedia	grt	Wp/grt	9	3	0	0	3	9	3
Wikinews	ka	Wn/ka	1891	37	69	-190	610	5	3
Wikipedia	ekp	Wp/ekp	10	4	478	0	5	5	3
Wikipedia	igl	Wp/igl	22505	82	0	0	722	8	3
Wikipedia	khw	Wp/khw	27949	262	305	-13	10021	11	3
Wikibooks	bcl	Wb/bcl	231	13	28380	-316	95	46	3
Wikipedia	ann	Wp/ann	2607	42	10970	-375	436	37	3
Wikipedia	cnr	Wp/cnr	12985	148	86	-102	2064	24	3
Wikiquote	sw	Wq/sw	775	44	22	0	508	59	3
Wikipedia	mrt	Wp/mrt	572	3	84579	-5159	64	512	3
Wikipedia	xkv	Wp/xkv	132	11	0	0	54	9	3
Wiktionary	chy	Wt/chy	86	2	0	0	60	43	2
Wikipedia	aoa	Wp/aoa	7	2	0	0	2	7	2
Wikipedia	sla	Wp/sla	46	7	0	0	1	2	2
Wikipedia	suz	Wp/suz	2	2	0	0	2	2	2
Wikipedia	ttt	Wp/ttt	322	24	0	0	108	18	2
Wikipedia	wls	Wp/wls	3607	44	86	-7	784	6	2
Wikibooks	mnw	Wb/mnw	160	10	0	0	101	2	2
Wikipedia	luo	Wp/luo	122	16	0	0	46	2	2
Wiktionary	jax	Wt/jax	3	2	185	-4	2	3	2
Wiktionary	mus	Wt/mus	65	2	0	-16	60	33	2
Wikipedia	wal	Wp/wal	1257	15	0	0	621	10	2
Wikipedia	esu	Wp/esu	1489	36	232	0	314	3	2
Wikivoyage	gu	Wy/gu	61	10	0	0	19	4	2
Wikivoyage	ml	Wy/ml	1945	65	83	0	257	6	2
Wikipedia	isk	Wp/isk	22	2	475	0	16	11	2
Wikibooks	skr	Wb/skr	714	29	0	0	140	4	2
Wikiquote	ne	Wq/ne	3307	29	3162	0	516	9	2
Wikipedia	mxt	Wp/mxt	740	35	0	0	119	2	2
Wiktionary	gil	Wt/gil	61	2	0	0	44	61	2
Wikipedia	acm	Wp/acm	375	12	2374	-44	127	20	2
Wikipedia	brh	Wp/brh	4582	68	0	0	1234	2	2
Wikivoyage	ace	Wy/ace	226	6	714	-114	66	36	2
Wikipedia	cia	Wp/cia	13	2	0	0	8	13	2
Wikivoyage	da	Wy/da	2961	64	512	-39	472	4	2
Wikivoyage	ta	Wy/ta	818	33	44	0	288	2	2
Wikibooks	ga	Wb/ga	11	6	40	-520	3	2	2
Wikipedia	aa	Wp/aa	304	72	6592	-248	58	29	2
Wikipedia	arq	Wp/arq	26898	726	193	0	1329	4	2
Wikipedia	bkm	Wp/bkm	7	2	0	0	1	7	2
Wikipedia	dar	Wp/dar	2749	66	0	0	526	16	2
Wikivoyage	kri	Wy/kri	34	2	80	-16	8	17	2
Wikipedia	fvr	Wp/fvr	172	8	0	0	59	5	2
Wikibooks	ckb	Wb/ckb	16	9	0	0	4	6	2
Wikipedia	mak	Wp/mak	1547	39	0	0	410	3	2
Wikipedia	mos	Wp/mos	23281	113	1338	-29	1427	28	2
Wikipedia	nod	Wp/nod	3507	56	5816	-345	615	10	2
Wikinews	vi	Wn/vi	4552	127	17107	-2	1130	8	2
Wikipedia	sli	Wp/sli	10601	131	17000	-1311	1574	17	2
Wikipedia	tun	Wp/tun	203	12	0	0	29	29	2
Wikipedia	csn	Wp/csn	12	2	0	0	5	12	2
Wikipedia	wsg	Wp/wsg	1675	13	9425	-90	183	231	2
Wiktionary	ce	Wt/ce	57	7	7439	-37	24	14	2
Wikipedia	rif	Wp/rif	3890	123	2901	-303	506	21	2
Wiktionary	mzn	Wt/mzn	129	17	0	0	69	2	2
Wikipedia	sip	Wp/sip	6	3	0	0	2	4	2
Wikipedia	bgc	Wp/bgc	768	17	16561	0	617	13	2
Wikivoyage	ms	Wy/ms	287	23	2438	-1	93	11	2
Wikipedia	jax	Wp/jax	765	29	66	-467	143	14	2
Wikibooks	as	Wb/as	706	35	6	0	198	3	2
Wikipedia	kpy	Wp/kpy	29	7	0	0	7	3	2
Wikipedia	qwh	Wp/qwh	5043	60	41	0	807	3	2
Wikipedia	ain	Wp/ain	1409	72	902	0	184	4	2
Wikipedia	sro	Wp/sro	6708	25	9410	-76	1199	13	2
Wikipedia	bto	Wp/bto	5181	63	65	0	1898	2	2
Wikipedia	kjh	Wp/kjh	12598	116	1080	0	2806	3	2
Wikinews	az	Wn/az	7443	82	187	0	2174	6	2
Wiktionary	lrc	Wt/lrc	8	2	0	0	6	8	2
Wikipedia	bcc	Wp/bcc	5118	94	1286	-55	1932	9	2
Wikipedia	snk	Wp/snk	2	2	0	0	2	2	2
Wikivoyage	th	Wy/th	2529	59	3834	-12980	328	15	2
Wikibooks	gom	Wb/gom	6	2	0	0	4	6	2
Wikipedia	prg	Wp/prg	621	46	91	-2	127	5	2
Wikipedia	aae	Wp/aae	1377	14	646	-284	372	16	2
Wikipedia	ase	Wp/ase	1583	37	21	0	361	2	2
Wikipedia	tyz	Wp/tyz	197	5	0	0	43	14	2
Wikipedia	gaa	Wp/gaa	565	37	1419	0	119	5	2
Wikipedia	kai	Wp/kai	731	14	0	0	203	2	2
Wikipedia	kyu	Wp/kyu	10	5	118	0	5	3	2
Wikibooks	rue	Wb/rue	6	2	0	-1	2	3	2
Wikipedia	nog	Wp/nog	9674	66	0	0	1126	3	2
Wikipedia	wym	Wp/wym	1684	57	0	0	229	8	2
Wikivoyage	si	Wy/si	959	11	32875	-1	298	32	2
Wikiquote	chy	Wq/chy	17	8	0	0	3	4	2
Wikiquote	mag	Wq/mag	34	2	105364	-1	19	34	2
Wikiquote	si	Wq/si	1603	16	6377	-163	451	80	2
Wikipedia	sjd	Wp/sjd	1629	51	18636	-486	314	32	2
Wikipedia	bgn	Wp/bgn	19484	153	1	0	7802	4	2
Wiktionary	tyz	Wt/tyz	23	2	0	0	11	12	2
Wikipedia	sus	Wp/sus	6	5	310	0	3	2	2
Wikipedia	bwr	Wp/bwr	202	16	112	-40	68	12	2
Wikipedia	cpx	Wp/cpx	5893	56	0	0	2658	3	2
Wikibooks	mni	Wb/mni	495	8	0	-1220	250	8	2
Wikipedia	lue	Wp/lue	33	2	8929	-1373	13	17	2
Wikipedia	ojs	Wp/ojs	37	5	0	0	23	4	2
Wikivoyage	az	Wy/az	802	32	489	-23	134	15	2
Wikivoyage	hu	Wy/hu	809	36	634	-460	238	19	2
Wikibooks	ary	Wb/ary	5	2	0	0	2	5	2
Wikipedia	lou	Wp/lou	191	5	1	0	60	14	2
Wikibooks	syc	Wb/syc	18	5	0	0	3	2	2
Wikinews	azb	Wn/azb	323	16	0	0	104	3	2
Wikiquote	tn	Wq/tn	122	10	0	0	46	4	2
Wiktionary	ba	Wt/ba	4987	47	0	0	1537	2	2
Wikinews	si	Wn/si	1197	28	3991	-13	375	46	2
Wiktionary	ht	Wt/ht	1705	37	0	0	557	46	2
Wikipedia	sdh	Wp/sdh	3605	62	0	0	929	3	2
Wikipedia	yrl	Wp/yrl	731	41	2547	-1054	155	18	2
Wikipedia	gju	Wp/gju	54	10	0	0	9	11	2
Wikinews	rue	Wn/rue	6	2	0	0	2	6	2
Wiktionary	lbe	Wt/lbe	2	2	0	0	2	2	2
Wiktionary	zea	Wt/zea	9853	53	131235	-352	3400	103	2
Wikipedia	cho	Wp/cho	987	51	3094	0	128	22	2
Wikipedia	tzm	Wp/tzm	5186	115	0	0	832	3	2
Wikipedia	yah	Wp/yah	38	12	0	0	20	2	2
Wikipedia	lar	Wp/lar	3	2	0	0	2	3	2
Wikipedia	arn	Wp/arn	4739	135	1175	-13	625	15	2
Wikipedia	bin	Wp/bin	9	2	2485	-1388	4	4	2
Wikivoyage	ca	Wy/ca	1862	74	42	0	134	3	2
Wikivoyage	ko	Wy/ko	3863	147	3673	-1115	476	11	2
Wikivoyage	sk	Wy/sk	1475	33	517	-1	270	10	2
Wikipedia	hoc	Wp/hoc	449	36	16415	-210	116	21	2
Wikipedia	jpr	Wp/jpr	3	2	0	0	1	3	2
Wikipedia	kum	Wp/kum	6709	81	128	0	838	4	2
Wikipedia	mor	Wp/mor	4	2	241	0	3	3	1
Wikinews	ee	Wn/ee	4	2	0	0	1	1	1
Wiktionary	acm	Wt/acm	27	2	5189	-317	8	26	1
Wikipedia	njo	Wp/njo	165	19	0	0	14	1	1
Wikinews	nap	Wn/nap	87	9	0	0	25	4	1
Wikipedia	pal	Wp/pal	8	4	0	0	1	1	1
Wikinews	ur	Wn/ur	8886	32	0	0	4007	1	1
Wiktionary	kab	Wt/kab	1208	36	0	0	461	3	1
Wikipedia	rmc	Wp/rmc	7112	35	27923	0	1788	71	1
Wiktionary	oaa	Wt/oaa	449	4	25	0	145	1	1
Wikipedia	bgp	Wp/bgp	57	16	50	-3	19	3	1
Wiktionary	tzm	Wt/tzm	36	10	0	0	15	1	1
Wikipedia	bzj	Wp/bzj	746	18	0	0	242	11	1
Wikivoyage	be	Wy/be	399	30	0	0	95	3	1
Wikipedia	crx	Wp/crx	1	1	0	0	1	1	1
Wikivoyage	ki	Wy/ki	8	3	0	0	3	6	1
Wikipedia	evn	Wp/evn	345	52	25	0	49	1	1
Wikivoyage	pa	Wy/pa	91	9	100	0	38	20	1
Wikiquote	ary	Wq/ary	2	2	0	0	2	1	1
Wikipedia	har	Wp/har	1	1	0	0	1	1	1
Wikibooks	ban	Wb/ban	8	4	0	0	6	1	1
Wikiquote	kge	Wq/kge	54	3	0	0	20	1	1
Wikibooks	yi	Wb/yi	101	8	0	0	15	6	1
Wikiquote	sd	Wq/sd	30	9	0	0	9	2	1
Wikinews	bjn	Wn/bjn	14	5	0	0	9	1	1
Wikiquote	yue	Wq/yue	1266	40	11	0	427	3	1
Wikipedia	niq	Wp/niq	387	9	0	0	127	3	1
Wikinews	mni	Wn/mni	140	9	0	0	40	1	1
Wiktionary	cbk	Wt/cbk	330	7	0	0	109	2	1
Wikipedia	orh	Wp/orh	42	5	24	0	6	1	1
Wikinews	tg	Wn/tg	803	18	0	0	419	1	1
Wikipedia	rhg	Wp/rhg	28	8	0	-90	13	1	1
Wikipedia	akk	Wp/akk	36	7	0	0	7	1	1
Wikipedia	sgy	Wp/sgy	6	1	0	0	5	6	1
Wikipedia	bfa	Wp/bfa	9	4	2461	0	5	1	1
Wiktionary	tay	Wt/tay	19	5	0	0	12	1	1
Wikipedia	std	Wp/std	1	1	0	0	1	1	1
Wikipedia	btx	Wp/btx	45	18	37	-22	11	6	1
Wikivoyage	azb	Wy/azb	1622	25	7	0	733	4	1
Wikipedia	tmr	Wp/tmr	959	26	12383	-387	157	35	1
Wikipedia	cop	Wp/cop	9768	96	10009	-160	1721	96	1
Wikivoyage	hy	Wy/hy	627	56	18	0	160	2	1
Wikivoyage	mr	Wy/mr	813	24	733	0	136	3	1
Wikiquote	aa	Wq/aa	4	1	0	0	3	4	1
Wikipedia	gyn	Wp/gyn	97	7	0	0	15	1	1
Wikipedia	izh	Wp/izh	329	43	0	0	19	5	1
Wikibooks	arz	Wb/arz	38	8	0	0	5	1	1
Wikibooks	mh	Wb/mh	1	1	0	0	1	1	1
Wikiquote	jax	Wq/jax	1	1	110	0	1	1	1
Wikipedia	lrc	Wp/lrc	228	22	108	0	90	1	1
Wikiquote	pa	Wq/pa	225	20	20	0	52	1	1
Wikipedia	mjw	Wp/mjw	13	3	0	0	4	1	1
Wikinews	bcc	Wn/bcc	39	10	0	0	18	1	1
Wikiquote	tt	Wq/tt	2226	38	885	-19	342	9	1
Wikinews	km	Wn/km	3	2	0	0	1	1	1
Wiktionary	ban	Wt/ban	2720	52	0	0	1003	10	1
Wikipedia	oj	Wp/oj	14	5	0	0	2	1	1
Wikinews	skr	Wn/skr	226	20	7361	-2	79	3	1
Wikipedia	aii	Wp/aii	61	10	0	0	12	1	1
Wiktionary	mag	Wt/mag	42	2	236	0	18	8	1
Wikipedia	sel	Wp/sel	519	30	0	0	140	17	1
Wikipedia	bem	Wp/bem	5	5	0	0	3	1	1
Wiktionary	sn	Wt/sn	2847	7	35960	-848	1556	126	1
Wikipedia	srh	Wp/srh	34	6	0	0	13	7	1
Wikipedia	tkr	Wp/tkr	39	17	0	0	9	1	1
Wikipedia	clw	Wp/clw	72	29	0	0	12	1	1
Wikipedia	enf	Wp/enf	631	26	0	0	195	1	1
Wikivoyage	ur	Wy/ur	809	25	0	0	284	2	1
Wikibooks	agx	Wb/agx	1	1	0	0	1	1	1
Wikipedia	kip	Wp/kip	1420	18	0	0	158	1	1
Wikibooks	khw	Wb/khw	17	7	0	0	10	4	1
Wikipedia	lki	Wp/lki	7080	67	43	0	3259	4	1
Wikipedia	mgp	Wp/mgp	70	9	0	0	9	1	1
Wikinews	arz	Wn/arz	2	2	0	0	2	1	1
Wikipedia	nys	Wp/nys	13318	132	0	-40	797	3	1
Wikinews	sah	Wn/sah	135	8	0	0	31	1	1
Wikipedia	pst	Wp/pst	17	7	0	0	1	1	1
Wiktionary	lfn	Wt/lfn	546	12	0	0	130	1	1
Wikipedia	sda	Wp/sda	3	2	47	-18	1	2	1
Wikipedia	bca	Wp/bca	1454	7	30	-164	900	5	1
Wiktionary	sco	Wt/sco	6216	297	20339	0	1734	1	1
Wikipedia	snd	Wp/snd	12	5	0	0	1	1	1
Wikipedia	tig	Wp/tig	330	6	0	0	79	4	1
Wikipedia	udi	Wp/udi	51	23	0	0	8	1	1
Wikivoyage	la	Wy/la	578	21	39	0	95	2	1
Wikipedia	yai	Wp/yai	902	48	0	0	270	19	1
Wikipedia	gdo	Wp/gdo	218	19	0	0	72	7	1
Wikipedia	ibb	Wp/ibb	971	29	0	0	203	2	1
Wikipedia	lif	Wp/lif	141	21	0	0	20	1	1
Wikibooks	scn	Wb/scn	4	3	0	0	2	2	1
Wikiquote	mt	Wq/mt	11	3	0	0	11	2	1
Wikinews	am	Wn/am	21	7	0	0	3	2	1
Wikiquote	sn	Wq/sn	133	3	354	0	51	8	1
Wikipedia	mui	Wp/mui	1651	41	0	0	244	2	1
Wikinews	hnd	Wn/hnd	14	5	0	0	4	1	1
Wikinews	or	Wn/or	92	8	0	0	31	1	1
Wiktionary	evn	Wt/evn	75	4	25	0	27	1	1
Wiktionary	knc	Wt/knc	194	4	166	0	44	7	1
Wikipedia	rut	Wp/rut	101	25	0	0	14	1	1
Wiktionary	rm	Wt/rm	24	6	0	0	16	2	1
Wikipedia	smj	Wp/smj	266	19	0	0	66	2	1
Wiktionary	xkv	Wt/xkv	4	2	0	0	1	3	1
Wikipedia	taj	Wp/taj	287	20	0	0	100	1	1
Wikipedia	chb	Wp/chb	483	9	327	0	69	1	1
Wikivoyage	co	Wy/co	65	8	12	0	12	2	1
Wikipedia	txn	Wp/txn	1	1	108	0	1	1	1
Wikipedia	xmm	Wp/xmm	457	26	0	0	126	2	1
Wikivoyage	sq	Wy/sq	88	14	27	-12	19	3	1
Wikipedia	hrx	Wp/hrx	2728	37	2057	0	392	4	1
Wikipedia	jra	Wp/jra	1	1	0	0	1	1	1
