Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	yua	Wp/yua	9290	196	2501	-756	1279	6	3
Wiktionary	ami	Wt/ami	18	5	2160	-237	4	13	3
Wikinews	id	Wn/id	1345	76	129	0	351	8	3
Wikiquote	sh	Wq/sh	255	14	0	0	73	5	3
Wiktionary	tcy	Wt/tcy	7471	37	11969	-587	2622	27	3
Wikipedia	apc	Wp/apc	797	42	55	-69	150	15	3
Wikinews	bn	Wn/bn	7262	65	78246	-51109	1589	505	3
Wikipedia	nit	Wp/nit	2157	16	3450	-411	211	81	3
Wikinews	ms	Wn/ms	3152	58	344754	-240	878	278	3
Wikipedia	ojb	Wp/ojb	838	26	0	0	189	49	3
Wikipedia	grt	Wp/grt	9	3	0	0	3	9	3
Wikinews	ka	Wn/ka	1891	37	69	-190	610	5	3
Wikipedia	ekp	Wp/ekp	10	4	0	0	5	5	3
Wikipedia	igl	Wp/igl	22505	82	0	0	722	8	3
Wikipedia	khw	Wp/khw	27950	263	0	-14	10021	11	3
Wikipedia	kyu	Wp/kyu	10	5	0	0	5	3	2
Wikibooks	rue	Wb/rue	6	2	0	-1	2	3	2
Wiktionary	tyz	Wt/tyz	23	2	0	0	11	12	2
Wikipedia	prg	Wp/prg	621	46	91	-2	127	5	2
Wikipedia	aae	Wp/aae	1377	14	646	-284	372	16	2
Wikipedia	ase	Wp/ase	1583	37	21	0	361	2	2
Wikipedia	tyz	Wp/tyz	197	5	0	0	43	14	2
Wikipedia	gaa	Wp/gaa	565	37	1419	0	119	5	2
Wikipedia	kai	Wp/kai	731	14	0	0	203	2	2
Wikipedia	nog	Wp/nog	9674	66	0	0	1126	3	2
Wikivoyage	az	Wy/az	802	32	489	-23	134	15	2
Wikivoyage	hu	Wy/hu	810	36	677	-31	238	19	2
Wikipedia	wym	Wp/wym	1685	57	0	-17	229	8	2
Wikiquote	chy	Wq/chy	17	8	0	0	3	4	2
Wiktionary	ba	Wt/ba	4987	47	0	0	1537	2	2
Wikibooks	mni	Wb/mni	495	8	0	-1220	250	8	2
Wikipedia	lue	Wp/lue	33	2	8929	-1373	13	17	2
Wiktionary	ht	Wt/ht	1705	37	0	0	557	46	2
Wikipedia	sjd	Wp/sjd	1642	51	25953	-382	317	32	2
Wikipedia	bgn	Wp/bgn	19485	153	0	-3	7802	4	2
Wikipedia	sus	Wp/sus	6	5	310	0	3	2	2
Wikipedia	bwr	Wp/bwr	202	16	112	-40	68	12	2
Wikipedia	cpx	Wp/cpx	5893	56	0	0	2658	3	2
Wikiquote	tn	Wq/tn	122	10	0	0	46	4	2
Wikipedia	lou	Wp/lou	191	5	0	0	60	14	2
Wikibooks	syc	Wb/syc	8	4	0	0	2	2	2
Wiktionary	lbe	Wt/lbe	2	2	0	0	2	2	2
Wikipedia	ojs	Wp/ojs	37	5	0	0	23	4	2
Wiktionary	zea	Wt/zea	9858	53	102161	-230	3401	103	2
Wikibooks	ary	Wb/ary	5	2	0	0	2	5	2
Wikinews	azb	Wn/azb	323	16	0	0	104	3	2
Wikinews	si	Wn/si	1197	28	1446	-13	375	46	2
Wikivoyage	ca	Wy/ca	1862	74	42	0	134	3	2
Wikipedia	sdh	Wp/sdh	3605	62	0	0	929	3	2
Wikivoyage	ko	Wy/ko	3876	147	3911	-1102	477	11	2
Wikivoyage	sk	Wy/sk	1475	33	96	-1	270	10	2
Wikipedia	yrl	Wp/yrl	731	41	2547	-1054	155	18	2
Wikipedia	gju	Wp/gju	54	10	0	0	9	11	2
Wikipedia	lar	Wp/lar	3	2	0	0	2	3	2
Wiktionary	chy	Wt/chy	86	2	0	0	60	43	2
Wikinews	rue	Wn/rue	6	2	0	0	2	6	2
Wikipedia	cho	Wp/cho	987	51	3094	0	128	22	2
Wikipedia	tzm	Wp/tzm	5186	115	0	0	832	3	2
Wikipedia	yah	Wp/yah	38	12	0	0	20	2	2
Wikipedia	kum	Wp/kum	6710	81	171	0	838	4	2
Wiktionary	jax	Wt/jax	3	2	185	-4	2	3	2
Wiktionary	mus	Wt/mus	65	2	0	0	60	33	2
Wikipedia	arn	Wp/arn	4740	136	0	-11	625	15	2
Wikipedia	bin	Wp/bin	9	2	2485	-1388	4	4	2
Wikipedia	hoc	Wp/hoc	454	36	16612	-216	116	21	2
Wikipedia	jpr	Wp/jpr	3	2	0	0	1	3	2
Wikibooks	mnw	Wb/mnw	160	10	0	0	101	2	2
Wikipedia	luo	Wp/luo	122	16	0	0	46	2	2
Wikivoyage	gu	Wy/gu	61	10	0	0	19	4	2
Wikipedia	aoa	Wp/aoa	7	2	0	0	2	7	2
Wikipedia	sla	Wp/sla	46	7	0	0	1	2	2
Wikivoyage	ml	Wy/ml	1946	65	83	-2	257	6	2
Wikipedia	suz	Wp/suz	2	2	0	0	2	2	2
Wikipedia	ttt	Wp/ttt	322	24	0	0	108	18	2
Wikipedia	wls	Wp/wls	3607	44	0	-7	784	6	2
Wikiquote	ne	Wq/ne	3307	29	1177	0	516	9	2
Wiktionary	gil	Wt/gil	61	2	0	0	44	61	2
Wikivoyage	ace	Wy/ace	226	6	714	-114	66	36	2
Wikivoyage	da	Wy/da	2961	64	512	-39	472	4	2
Wikivoyage	ta	Wy/ta	818	33	44	0	288	2	2
Wikipedia	wal	Wp/wal	1258	15	97	0	621	10	2
Wikibooks	skr	Wb/skr	714	29	0	0	140	4	2
Wikivoyage	kri	Wy/kri	34	2	80	-16	8	17	2
Wikipedia	isk	Wp/isk	22	2	0	0	16	11	2
Wikipedia	mxt	Wp/mxt	740	35	0	0	119	2	2
Wikipedia	acm	Wp/acm	375	12	2374	-44	127	20	2
Wikipedia	brh	Wp/brh	4582	68	0	0	1234	2	2
Wikipedia	cia	Wp/cia	13	2	0	0	8	13	2
Wikibooks	ga	Wb/ga	11	6	0	0	3	2	2
Wiktionary	ce	Wt/ce	61	7	6217	-5	24	14	2
Wikipedia	mak	Wp/mak	1547	39	0	0	410	3	2
Wiktionary	mzn	Wt/mzn	129	17	0	0	69	2	2
Wikipedia	aa	Wp/aa	311	72	26313	-266	61	29	2
Wikipedia	arq	Wp/arq	26898	726	150	0	1329	4	2
Wikivoyage	ms	Wy/ms	287	23	2432	-1	93	11	2
Wikipedia	bkm	Wp/bkm	7	2	0	0	1	7	2
Wikipedia	dar	Wp/dar	2749	66	0	0	526	16	2
Wikipedia	fvr	Wp/fvr	172	8	0	0	59	5	2
Wikibooks	ckb	Wb/ckb	16	9	0	0	4	6	2
Wikipedia	mos	Wp/mos	23298	113	1855	-29	1427	28	2
Wikipedia	nod	Wp/nod	3508	56	2467	-334	615	10	2
Wikinews	vi	Wn/vi	4552	127	7237	-2	1130	8	2
Wikipedia	sli	Wp/sli	10642	132	10631	-2904	1583	17	2
Wikipedia	tun	Wp/tun	211	12	2417	0	31	29	2
Wikipedia	csn	Wp/csn	12	2	0	0	5	12	2
Wikipedia	wsg	Wp/wsg	1675	13	7767	-56	183	231	2
Wiktionary	lrc	Wt/lrc	8	2	0	0	6	8	2
Wikipedia	rif	Wp/rif	3910	123	3889	-380	509	21	2
Wikipedia	sip	Wp/sip	6	3	0	0	2	4	2
Wikipedia	bgc	Wp/bgc	768	17	0	0	617	13	2
Wikivoyage	th	Wy/th	2532	59	50	-142	328	15	2
Wikipedia	jax	Wp/jax	765	29	0	0	143	14	2
Wikibooks	as	Wb/as	706	35	6	0	198	3	2
Wikipedia	kpy	Wp/kpy	29	7	0	0	7	3	2
Wikipedia	qwh	Wp/qwh	5045	60	120	0	807	3	2
Wikipedia	ain	Wp/ain	1409	72	306	0	184	4	2
Wikipedia	sro	Wp/sro	6708	25	4960	-76	1199	13	2
Wikipedia	bto	Wp/bto	5181	63	65	0	1898	2	2
Wikipedia	kjh	Wp/kjh	12598	116	1071	0	2806	3	2
Wikinews	az	Wn/az	7443	82	144	0	2174	6	2
Wikipedia	bcc	Wp/bcc	5119	94	1286	-69	1932	9	2
Wikipedia	snk	Wp/snk	2	2	0	0	2	2	2
Wikivoyage	si	Wy/si	959	11	4100	-1	298	32	2
Wikiquote	mag	Wq/mag	34	2	105364	-1	19	34	2
Wikiquote	si	Wq/si	1603	16	4731	-114	451	80	2
Wikibooks	gom	Wb/gom	6	2	0	0	4	6	2
Wiktionary	cho	Wt/cho	2	1	0	0	2	2	1
Wikipedia	mfb	Wp/mfb	134	15	0	0	24	1	1
Wikinews	ang	Wn/ang	145	18	0	0	36	1	1
Wikipedia	mus	Wp/mus	160	34	2954	0	30	4	1
Wiktionary	nap	Wt/nap	812	25	0	0	472	7	1
Wikinews	hr	Wn/hr	268	17	0	0	78	1	1
Wikinews	ppl	Wn/ppl	1926	29	0	0	226	2	1
Wikivoyage	bcl	Wy/bcl	42	8	0	0	19	5	1
Wikivoyage	kaa	Wy/kaa	1	1	0	0	1	1	1
Wikipedia	sms	Wp/sms	1776	25	54	0	295	1	1
Wikivoyage	ne	Wy/ne	215	18	0	0	42	2	1
Wikipedia	bol	Wp/bol	1708	46	0	0	469	2	1
Wikipedia	tbz	Wp/tbz	7	2	0	0	4	1	1
Wikipedia	dje	Wp/dje	3	2	0	0	2	2	1
Wikipedia	xsr	Wp/xsr	9	3	0	0	3	1	1
Wikiquote	kaa	Wq/kaa	4	3	0	0	3	1	1
Wikipedia	hsn	Wp/hsn	843	61	12809	-29	146	1	1
Wikiquote	rw	Wq/rw	18	6	0	0	6	1	1
Wiktionary	ace	Wt/ace	45	15	0	0	10	1	1
Wikibooks	dtp	Wb/dtp	29	9	8	0	7	1	1
Wikipedia	ksw	Wp/ksw	1240	29	21	0	364	2	1
Wikibooks	olo	Wb/olo	1	1	0	0	1	1	1
Wikipedia	lzz	Wp/lzz	2442	59	0	0	798	1	1
Wiktionary	ilo	Wt/ilo	29	7	0	0	9	1	1
Wikinews	ace	Wn/ace	45	4	0	0	10	1	1
Wikipedia	mqm	Wp/mqm	1	1	0	0	1	1	1
Wiktionary	mnc	Wt/mnc	22456	25	0	0	7695	1	1
Wikinews	gv	Wn/gv	5	2	0	0	1	4	1
Wikinews	nia	Wn/nia	232	8	0	0	70	7	1
Wikipedia	pdt	Wp/pdt	1793	62	43	0	322	3	1
Wikinews	wuu	Wn/wuu	60	9	0	0	18	1	1
Wikipedia	rop	Wp/rop	36	8	0	0	16	1	1
Wikipedia	aqc	Wp/aqc	4	2	0	0	3	2	1
Wikipedia	slr	Wp/slr	1341	80	0	0	418	2	1
Wikivoyage	mni	Wy/mni	34	10	0	0	11	1	1
Wikipedia	bhh	Wp/bhh	109	12	0	0	32	17	1
Wikivoyage	yue	Wy/yue	391	40	0	0	134	7	1
Wikipedia	tuq	Wp/tuq	39	4	0	0	8	3	1
Wikipedia	czh	Wp/czh	17	7	0	0	9	2	1
Wikipedia	fkv	Wp/fkv	2866	53	10	-10	643	3	1
Wikipedia	hne	Wp/hne	60	16	0	0	25	1	1
Wikiquote	or	Wq/or	1804	42	0	0	266	3	1
Wikipedia	jpn	Wp/jpn	82	21	0	0	2	1	1
Wikiquote	xmf	Wq/xmf	89	6	0	0	36	3	1
Wikibooks	wuu	Wb/wuu	121	18	0	0	31	2	1
Wikipedia	mns	Wp/mns	694	32	0	0	130	1	1
Wikinews	cdo	Wn/cdo	6697	40	0	0	1065	1	1
Wikipedia	niv	Wp/niv	59	24	0	0	8	1	1
Wiktionary	shi	Wt/shi	1567	22	0	0	507	1	1
Wikinews	myv	Wn/myv	34	5	0	0	13	4	1
Wikipedia	otq	Wp/otq	13	7	19	0	7	1	1
Wikivoyage	af	Wy/af	141	7	48	0	80	2	1
Wikinews	tr	Wn/tr	121	14	0	0	52	1	1
Wikivoyage	fit	Wy/fit	8	3	0	0	3	1	1
Wikivoyage	lv	Wy/lv	1376	29	0	-71	319	1	1
Wikivoyage	tt	Wy/tt	311	18	49	0	106	4	1
Wikipedia	trw	Wp/trw	43	8	0	0	14	1	1
Wikipedia	wep	Wp/wep	33	10	0	0	14	2	1
Wikipedia	eve	Wp/eve	83	17	0	0	8	1	1
Wikiquote	fat	Wq/fat	1	1	0	0	1	1	1
Wikiquote	an	Wq/an	112	13	551	-26	36	1	1
Wikipedia	hac	Wp/hac	384	28	0	0	121	1	1
Wikiquote	nap	Wq/nap	49	8	0	0	17	1	1
Wikipedia	jdt	Wp/jdt	116	26	0	0	37	5	1
Wikibooks	bal	Wb/bal	20	8	0	0	5	2	1
Wiktionary	gcf	Wt/gcf	190	10	0	0	90	2	1
Wikipedia	mkn	Wp/mkn	534	18	0	0	180	1	1
Wikinews	bgn	Wn/bgn	12	5	0	0	5	2	1
Wikipedia	nia	Wp/nia	13	6	65	-104	1	3	1
Wiktionary	sat	Wt/sat	10682	41	0	0	2136	1	1
Wikinews	lv	Wn/lv	10	3	0	0	6	3	1
Wikipedia	rad	Wp/rad	143	2	6	0	27	22	1
Wikivoyage	cy	Wy/cy	131	14	0	0	25	1	1
Wikipedia	akb	Wp/akb	47	16	24	-10	7	4	1
Wikipedia	sgh	Wp/sgh	295	31	1238	0	99	8	1
Wikivoyage	ky	Wy/ky	55	8	0	0	12	6	1
Wikipedia	ssf	Wp/ssf	3118	57	0	0	1450	1	1
Wikipedia	bts	Wp/bts	15	4	104	-87	3	7	1
Wikipedia	tmh	Wp/tmh	6	4	0	0	1	1	1
Wikipedia	vmw	Wp/vmw	3099	104	0	-83	1011	7	1
Wikipedia	est	Wp/est	8	4	0	0	1	2	1
Wikipedia	zza	Wp/zza	28	11	0	0	1	1	1
Wikipedia	gvr	Wp/gvr	20	8	0	0	6	1	1
Wikipedia	kjj	Wp/kjj	618	26	0	0	110	1	1
Wiktionary	arn	Wt/arn	338	14	0	0	51	15	1
Wikibooks	mai	Wb/mai	7	3	0	0	1	4	1
Wikipedia	ljp	Wp/ljp	96	24	1	0	24	3	1
Wiktionary	dtp	Wt/dtp	112	12	0	-61	41	1	1
Wikibooks	se	Wb/se	138	13	86	0	31	2	1
Wikipedia	min	Wp/min	7	6	0	-54	1	1	1
Wiktionary	ki	Wt/ki	67	7	0	0	42	1	1
Wikipedia	mzs	Wp/mzs	216	12	0	0	87	1	1
Wiktionary	pms	Wt/pms	9609	32	413	0	2756	2	1
Wikinews	kaa	Wn/kaa	275	7	0	0	113	2	1
Wikipedia	oac	Wp/oac	23	8	0	0	8	1	1
Wiktionary	wym	Wt/wym	1023	8	379	0	545	163	1
Wikipedia	pzh	Wp/pzh	2808	21	0	0	563	2	1
Wikipedia	agx	Wp/agx	53	26	0	0	11	1	1
Wikipedia	srb	Wp/srb	15	6	0	0	7	1	1
Wikipedia	btd	Wp/btd	92	23	27	-11	18	6	1
Wikipedia	tkl	Wp/tkl	395	35	0	0	126	1	1
Wikipedia	ckv	Wp/ckv	423	19	43	0	125	1	1
Wikipedia	uln	Wp/uln	45	8	0	0	10	2	1
Wikipedia	elm	Wp/elm	26	7	0	0	8	1	1
Wikiquote	mk	Wq/mk	22	4	0	0	5	1	1
Wikipedia	ii	Wp/ii	2801	74	15	-73	910	5	1
Wikiquote	skr	Wq/skr	138	10	919	0	67	2	1
Wikipedia	kim	Wp/kim	17	4	0	0	4	3	1
Wiktionary	alu	Wt/alu	1	1	0	0	1	1	1
Wikibooks	ha	Wb/ha	40	19	0	0	13	1	1
Wikibooks	sat	Wb/sat	30	6	0	0	12	1	1
Wikipedia	mfe	Wp/mfe	520	45	21	0	110	1	1
Wiktionary	kab	Wt/kab	1208	36	0	0	461	3	1
Wikinews	anp	Wn/anp	144	10	0	0	70	3	1
Wikipedia	mvf	Wp/mvf	643	43	0	0	106	2	1
Wiktionary	oaa	Wt/oaa	449	4	25	0	145	1	1
Wikinews	hu	Wn/hu	7483	160	215	0	1150	1	1
Wikipedia	nxq	Wp/nxq	4	2	0	0	2	1	1
Wiktionary	tzm	Wt/tzm	36	10	0	0	15	1	1
Wikipedia	pse	Wp/pse	121	36	0	0	53	1	1
Wikivoyage	be	Wy/be	399	30	0	0	95	3	1
Wikipedia	abq	Wp/abq	128	32	26	0	25	1	1
Wikipedia	saz	Wp/saz	51	19	0	0	15	1	1
Wikivoyage	ki	Wy/ki	8	3	0	0	3	6	1
Wikipedia	atv	Wp/atv	202	52	28	0	36	3	1
Wikipedia	smw	Wp/smw	28	15	109	0	9	5	1
Wikivoyage	pa	Wy/pa	91	9	72	0	38	20	1
Wikipedia	bph	Wp/bph	10	5	0	0	4	1	1
Wikipedia	dng	Wp/dng	517	54	0	0	141	6	1
Wikipedia	gay	Wp/gay	77	21	6	0	12	1	1
Wikiquote	kge	Wq/kge	54	3	0	0	20	1	1
Wikiquote	sd	Wq/sd	30	9	0	0	9	2	1
Wiktionary	acm	Wt/acm	27	2	5189	-317	8	26	1
Wikibooks	ee	Wb/ee	1	1	0	-17	1	1	1
Wiktionary	cbk	Wt/cbk	330	7	0	0	109	2	1
Wikibooks	om	Wb/om	33	6	0	0	8	5	1
Wikinews	af	Wn/af	301	17	0	0	134	1	1
Wikinews	hi	Wn/hi	1092	53	0	0	270	1	1
Wikipedia	non	Wp/non	744	56	19	0	120	1	1
Wiktionary	tay	Wt/tay	19	5	0	0	12	1	1
Wikinews	om	Wn/om	15	3	0	0	3	11	1
Wikipedia	phr	Wp/phr	247	19	0	-73	63	59	1
Wikivoyage	azb	Wy/azb	1622	25	7	0	733	4	1
Wikinews	yue	Wn/yue	641	36	0	0	180	1	1
Wikivoyage	hy	Wy/hy	627	56	0	0	160	2	1
Wikipedia	sma	Wp/sma	976	57	0	-43	231	1	1
Wikivoyage	mr	Wy/mr	813	24	733	0	136	3	1
Wikipedia	tab	Wp/tab	99	32	0	0	16	1	1
Wikipedia	ccp	Wp/ccp	146	22	159	0	33	2	1
Wikipedia	tvx	Wp/tvx	6051	12	2	0	1403	1	1
Wikipedia	czo	Wp/czo	100	7	0	0	48	2	1
Wikipedia	frs	Wp/frs	1154	14	0	0	195	2	1
Wikiquote	jax	Wq/jax	1	1	110	0	1	1	1
Wikiquote	ckb	Wq/ckb	260	14	0	0	62	1	1
Wikiquote	pa	Wq/pa	225	20	20	0	52	1	1
Wikiquote	yue	Wq/yue	1266	40	0	0	427	3	1
Wikibooks	bhi	Wb/bhi	6	4	0	0	3	1	1
Wiktionary	ban	Wt/ban	2720	52	0	0	1003	10	1
Wikibooks	yi	Wb/yi	101	8	0	0	15	6	1
Wikipedia	mor	Wp/mor	4	2	0	0	3	3	1
Wiktionary	mag	Wt/mag	42	2	236	0	18	8	1
Wikinews	ee	Wn/ee	4	2	0	0	1	1	1
Wikipedia	njo	Wp/njo	165	19	0	0	14	1	1
Wiktionary	sn	Wt/sn	2848	7	12146	-302	1557	126	1
Wikinews	nap	Wn/nap	87	9	0	0	25	4	1
Wikipedia	pal	Wp/pal	8	4	0	0	1	1	1
Wikinews	ur	Wn/ur	8886	32	0	0	4007	1	1
Wikipedia	rmc	Wp/rmc	7113	35	27923	-3263	1788	71	1
Wikipedia	bgp	Wp/bgp	57	16	50	-3	19	3	1
Wikivoyage	ur	Wy/ur	809	25	0	0	284	2	1
Wikipedia	bzj	Wp/bzj	746	18	0	0	242	11	1
Wikipedia	crx	Wp/crx	1	1	0	0	1	1	1
Wikipedia	evn	Wp/evn	345	52	25	0	49	1	1
Wikiquote	ary	Wq/ary	2	2	0	0	2	1	1
Wikipedia	har	Wp/har	1	1	0	0	1	1	1
Wikiquote	tt	Wq/tt	2227	38	224	0	342	9	1
Wikibooks	ban	Wb/ban	8	4	0	0	6	1	1
Wikibooks	mh	Wb/mh	1	1	0	0	1	1	1
Wikipedia	lrc	Wp/lrc	228	22	108	0	90	1	1
Wiktionary	lfn	Wt/lfn	546	12	0	0	130	1	1
Wikinews	bjn	Wn/bjn	14	5	0	0	9	1	1
Wikipedia	niq	Wp/niq	387	9	0	0	127	3	1
Wiktionary	sco	Wt/sco	6216	297	20339	0	1734	1	1
Wikinews	mni	Wn/mni	140	9	0	0	40	1	1
Wikipedia	orh	Wp/orh	42	5	24	0	6	1	1
Wikinews	tg	Wn/tg	803	18	0	0	419	1	1
Wikipedia	rhg	Wp/rhg	28	8	0	-90	13	1	1
Wikipedia	akk	Wp/akk	36	7	0	0	7	1	1
Wikipedia	sgy	Wp/sgy	6	1	0	0	5	6	1
Wikivoyage	la	Wy/la	578	21	39	0	95	2	1
Wikipedia	bfa	Wp/bfa	9	4	2461	0	5	1	1
Wikipedia	std	Wp/std	1	1	0	0	1	1	1
Wikipedia	btx	Wp/btx	50	18	82	-1130	11	6	1
Wikipedia	tmr	Wp/tmr	959	26	6712	-321	157	35	1
Wikipedia	cop	Wp/cop	9794	96	7403	-242	1722	96	1
Wikipedia	esu	Wp/esu	1483	35	21	0	312	1	1
Wikiquote	aa	Wq/aa	4	1	0	0	3	4	1
Wikipedia	gyn	Wp/gyn	97	7	0	0	15	1	1
Wikiquote	mt	Wq/mt	11	3	0	0	11	2	1
Wikipedia	izh	Wp/izh	329	43	0	0	19	5	1
Wikibooks	arz	Wb/arz	38	8	0	0	5	1	1
Wikipedia	lki	Wp/lki	7080	67	43	0	3259	4	1
Wiktionary	evn	Wt/evn	75	4	25	0	27	1	1
Wikipedia	mjw	Wp/mjw	13	3	0	0	4	1	1
Wiktionary	knc	Wt/knc	194	4	140	0	44	7	1
Wikinews	bcc	Wn/bcc	39	10	0	0	18	1	1
Wiktionary	rm	Wt/rm	24	6	0	0	16	2	1
Wikinews	km	Wn/km	3	2	0	0	1	1	1
Wikipedia	oj	Wp/oj	14	5	0	0	2	1	1
Wiktionary	xkv	Wt/xkv	4	2	0	0	1	3	1
Wikinews	skr	Wn/skr	226	20	7361	-2	79	3	1
Wikivoyage	co	Wy/co	65	8	0	0	12	2	1
Wikipedia	aii	Wp/aii	161	12	17600	-158	57	1	1
Wikipedia	sel	Wp/sel	519	30	0	0	140	17	1
Wikipedia	bem	Wp/bem	5	5	0	0	3	1	1
Wikipedia	srh	Wp/srh	34	6	0	0	13	7	1
Wikivoyage	sq	Wy/sq	88	14	27	-12	19	3	1
Wikipedia	tkr	Wp/tkr	39	17	0	0	9	1	1
Wikipedia	clw	Wp/clw	72	29	0	0	12	1	1
Wikipedia	enf	Wp/enf	631	26	0	0	195	1	1
Wikiquote	mnc	Wq/mnc	65	6	0	0	15	1	1
Wikiquote	sn	Wq/sn	133	3	354	0	51	8	1
Wikibooks	agx	Wb/agx	1	1	0	0	1	1	1
Wikipedia	kip	Wp/kip	1420	18	0	0	158	1	1
Wikibooks	khw	Wb/khw	17	7	0	0	10	4	1
Wikipedia	lif	Wp/lif	141	21	0	0	20	1	1
Wiktionary	crh	Wt/crh	970	14	0	0	270	1	1
Wikibooks	scn	Wb/scn	4	3	0	0	2	2	1
Wikipedia	mgp	Wp/mgp	70	9	0	0	9	1	1
Wiktionary	ket	Wt/ket	1	1	0	0	1	1	1
Wikinews	arz	Wn/arz	2	2	0	0	2	1	1
Wiktionary	ota	Wt/ota	31	12	0	0	10	5	1
Wikipedia	nys	Wp/nys	13319	132	43	-40	797	3	1
Wiktionary	ve	Wt/ve	104	1	18474	-13	94	94	1
Wikinews	sah	Wn/sah	135	8	0	0	31	1	1
Wikipedia	pst	Wp/pst	17	7	0	0	1	1	1
Wikivoyage	bg	Wy/bg	492	26	0	0	127	2	1
Wikipedia	sda	Wp/sda	3	2	47	-18	1	2	1
Wikivoyage	kjh	Wy/kjh	3	1	0	0	3	3	1
Wikipedia	bca	Wp/bca	1454	7	30	-164	900	5	1
