Project	Language Code	Prefix	Edits	Editors	Pages	Bytes removed (30d)	Bytes added (30d)	Avg monthly edits	Avg monthly editors
Wikipedia	nup	Wp/nup	4888	43	27816	-1687	629	436	15
Wikipedia	btm	Wp/btm	6845	139	0	0	2091	196	13
Wiktionary	mad	Wt/mad	7137	22	35203	-225	5479	324	12
Wikipedia	rsk	Wp/rsk	3942	28	275822	-25620	416	408	12
Wikipedia	dtp	Wp/dtp	8512	118	0	-22	2000	463	12
Wikipedia	cak	Wp/cak	1390	131	89	0	298	21	11
Wikipedia	iba	Wp/iba	2167	50	5105599	-12671	908	175	11
Wikiquote	gor	Wq/gor	2634	21	72691	-553	296	559	11
Wikipedia	knc	Wp/knc	14192	79	17963	-1544	1286	500	10
Wikivoyage	cs	Wy/cs	5295	136	19482	-410	697	308	9
Wikinews	shn	Wn/shn	5237	23	214299	-4828	2326	443	9
Wiktionary	kaa	Wt/kaa	11086	26	0	0	5497	1449	8
Wikipedia	syl	Wp/syl	12891	74	172979	-216	2536	141	8
Wiktionary	guc	Wt/guc	1983	50	0	0	753	177	7
Wikipedia	mnc	Wp/mnc	22290	168	13660	-73	2907	63	7
Wikivoyage	id	Wy/id	18351	143	69642	-1674	2519	104	7
Wikipedia	kus	Wp/kus	9537	66	0	0	1386	32	6
Wikipedia	ppl	Wp/ppl	3577	101	60146	-380	471	50	6
Wikipedia	lua	Wp/lua	970	22	3636	-10	299	94	6
Wikipedia	tdd	Wp/tdd	3251	45	71515	-13068	884	248	6
Wikipedia	kge	Wp/kge	11817	33	464341	-6764	2290	724	6
Wiktionary	bew	Wt/bew	1468	19	8875	-182	732	139	5
Wikivoyage	hbs	Wy/hbs	3285	38	165377	-238	258	53	5
Wikipedia	mjx	Wp/mjx	143	8	1067	0	44	70	5
Wikipedia	chn	Wp/chn	3514	38	0	0	346	409	5
Wikiquote	ha	Wq/ha	7160	46	113622	-579	1135	525	5
Wikivoyage	syl	Wy/syl	3367	20	55444	-805	705	160	5
Wikipedia	rki	Wp/rki	7949	48	153383	-82	2553	184	5
Wikiquote	ms	Wq/ms	1825	97	14676	-21	775	77	5
Wikipedia	isv	Wp/isv	149	8	0	-4	78	74	5
Wikipedia	bew	Wp/bew	12070	93	0	0	2842	125	5
Wikiquote	syl	Wq/syl	2619	15	74011	-348	537	124	5
Wiktionary	ary	Wt/ary	5073	29	37425	-474	1991	186	5
Wikipedia	grc	Wp/grc	24192	310	14887	-4851	3776	132	5
Wikipedia	nr	Wp/nr	976	47	48396	-855	225	45	4
Wikibooks	nia	Wb/nia	9322	40	156734	-17670	2052	129	4
Wikivoyage	diq	Wy/diq	8831	92	14	-60	1903	56	4
Wikipedia	vmf	Wp/vmf	5424	277	43	-94	396	12	4
Wikipedia	sdc	Wp/sdc	18253	95	909	0	2444	14	4
Wiktionary	bto	Wt/bto	682	20	0	0	223	29	4
Wiktionary	syl	Wt/syl	3613	19	26555	0	2029	74	4
Wikipedia	ryu	Wp/ryu	10665	211	429	-310	2981	8	4
Wikipedia	kri	Wp/kri	2377	59	1394	-170	1323	99	4
Wikinews	syl	Wn/syl	4843	24	194836	-2	1077	85	4
Wikipedia	bdr	Wp/bdr	2553	48	41484	-1590	1004	98	4
Wikipedia	kck	Wp/kck	1109	23	0	-226	428	112	4
Wikipedia	mag	Wp/mag	11260	17	2515845	-66991	4407	1603	4
Wikipedia	jje	Wp/jje	4007	63	0	-5	951	4	4
Wikibooks	syl	Wb/syl	2277	18	43794	-1	450	101	4
Wikipedia	vai	Wp/vai	246	35	23064	-4820	72	11	4
Wikipedia	na	Wp/na	53597	1074	133	-48	2292	6	4
Wikipedia	apc	Wp/apc	798	42	0	-2	150	15	3
Wikinews	bn	Wn/bn	7268	65	99252	-44498	1574	498	3
Wikipedia	nit	Wp/nit	2187	17	10289	-94	214	81	3
Wikinews	ms	Wn/ms	3211	58	243675	-123	927	278	3
Wikipedia	grt	Wp/grt	9	3	0	0	3	9	3
Wikipedia	ojb	Wp/ojb	838	26	0	0	189	49	3
Wikipedia	ekp	Wp/ekp	12	4	2943	-2669	6	5	3
Wikipedia	igl	Wp/igl	22505	82	0	0	722	8	3
Wikipedia	khw	Wp/khw	27959	264	138	-299	10021	11	3
Wikinews	ka	Wn/ka	1891	37	0	0	610	5	3
Wikibooks	bcl	Wb/bcl	267	13	15777	-26	110	46	3
Wikiquote	sw	Wq/sw	777	44	129	0	508	59	3
Wikipedia	ann	Wp/ann	2652	42	4881	-211	443	37	3
Wikipedia	cnr	Wp/cnr	12987	148	726	0	2065	24	3
Wikipedia	xkv	Wp/xkv	133	11	43	0	54	9	3
Wiktionary	iba	Wt/iba	19	3	0	0	4	19	3
Wikivoyage	ar	Wy/ar	7909	386	24	-1035	1599	20	3
Wikipedia	mrt	Wp/mrt	1229	10	100535	-811	150	512	3
Wikipedia	krl	Wp/krl	9270	174	455	-455	2023	3	3
Wiktionary	ami	Wt/ami	18	5	0	-38	4	13	3
Wikiquote	sh	Wq/sh	255	14	0	0	73	5	3
Wikipedia	yua	Wp/yua	9292	197	919	-764	1279	6	3
Wikipedia	qug	Wp/qug	8455	70	0	0	1325	11	3
Wiktionary	tcy	Wt/tcy	7471	37	0	0	2622	27	3
Wikinews	id	Wn/id	1345	76	0	0	351	8	3
Wikipedia	dar	Wp/dar	2749	66	0	0	526	16	2
Wikipedia	fvr	Wp/fvr	172	8	0	0	59	5	2
Wikibooks	ckb	Wb/ckb	16	9	0	0	4	6	2
Wikipedia	mak	Wp/mak	1547	39	0	0	410	3	2
Wikipedia	aa	Wp/aa	312	72	24200	-18	62	29	2
Wikipedia	arq	Wp/arq	26902	726	216	0	1329	4	2
Wikipedia	bkm	Wp/bkm	7	2	0	0	1	7	2
Wikipedia	tun	Wp/tun	239	12	2761	-133	31	29	2
Wikipedia	csn	Wp/csn	12	2	0	0	5	12	2
Wikipedia	wsg	Wp/wsg	1701	15	5062	-293	185	231	2
Wiktionary	lrc	Wt/lrc	8	2	0	0	6	8	2
Wikipedia	mos	Wp/mos	23304	113	1072	0	1427	28	2
Wikipedia	nod	Wp/nod	3643	57	43585	-29964	635	10	2
Wikivoyage	th	Wy/th	2536	59	252	-142	328	15	2
Wikinews	vi	Wn/vi	4552	127	0	0	1130	8	2
Wikipedia	sli	Wp/sli	10658	132	9545	-4953	1587	17	2
Wikipedia	jax	Wp/jax	769	29	2431	-46	144	14	2
Wikibooks	as	Wb/as	706	35	0	0	198	3	2
Wikipedia	kpy	Wp/kpy	29	7	0	0	7	3	2
Wikipedia	rif	Wp/rif	3910	123	1544	-127	509	21	2
Wikipedia	sip	Wp/sip	7	4	105	0	2	4	2
Wikipedia	bgc	Wp/bgc	768	17	0	0	617	13	2
Wikipedia	sro	Wp/sro	6709	25	1461	-128	1199	13	2
Wikipedia	bto	Wp/bto	5182	63	87	0	1898	2	2
Wikiquote	si	Wq/si	1644	16	9352	-114	464	80	2
Wikipedia	kjh	Wp/kjh	12630	116	1325	-144	2806	3	2
Wikivoyage	si	Wy/si	969	11	3066	0	298	32	2
Wikipedia	qwh	Wp/qwh	5045	60	79	0	807	3	2
Wikipedia	ain	Wp/ain	1409	72	0	0	184	4	2
Wikiquote	mag	Wq/mag	34	2	0	0	19	34	2
Wikibooks	gom	Wb/gom	6	2	0	0	4	6	2
Wiktionary	tyz	Wt/tyz	23	2	0	0	11	12	2
Wikinews	az	Wn/az	7443	82	0	0	2174	6	2
Wikipedia	bcc	Wp/bcc	5122	96	49	-14	1932	9	2
Wikipedia	snk	Wp/snk	2	2	0	0	2	2	2
Wikipedia	tyz	Wp/tyz	197	5	0	0	43	14	2
Wikipedia	gaa	Wp/gaa	565	37	0	0	119	5	2
Wikipedia	kai	Wp/kai	731	14	0	0	203	2	2
Wikipedia	kyu	Wp/kyu	10	5	0	0	5	3	2
Wikibooks	rue	Wb/rue	6	2	0	0	2	3	2
Wikivoyage	az	Wy/az	802	32	0	0	134	15	2
Wikivoyage	hu	Wy/hu	810	36	43	0	238	19	2
Wikipedia	prg	Wp/prg	621	46	0	0	127	5	2
